record_id,keyword,category,form_type,complexity,num_fields,created_date,form_title,estimated_time
4,digital marketing,marketing,registration,Moderate,13,2025-06-05,Digital Marketing Registration,5
8,content marketing,marketing,assessment,Simple,5,2025-05-18,Content Marketing Assessment,7
10,content marketing,marketing,survey,Moderate,12,2025-06-25,Content Marketing Survey,9
11,content marketing,marketing,application,Moderate,12,2025-08-29,Content Marketing Application,11
14,brand management,marketing,survey,Complex,5,2025-06-13,Brand Management Survey,5
16,digital marketing,marketing,survey,Simple,8,2024-12-14,Digital Marketing Survey,7
19,social media,marketing,registration,Moderate,12,2025-03-07,Social Media Registration,9
20,brand management,marketing,application,Moderate,13,2024-12-03,Brand Management Application,5
23,content marketing,marketing,registration,Complex,11,2025-09-09,Content Marketing Registration,3
28,content marketing,marketing,survey,Simple,15,2025-08-21,Content Marketing Survey,12
30,brand management,marketing,assessment,Simple,7,2025-02-17,Brand Management Assessment,9
35,digital marketing,marketing,registration,Complex,14,2025-04-08,Digital Marketing Registration,3
37,digital marketing,marketing,application,Simple,14,2025-08-13,Digital Marketing Application,5
39,brand management,marketing,assessment,Complex,10,2025-07-03,Brand Management Assessment,5
40,digital marketing,marketing,application,Moderate,7,2024-12-29,Digital Marketing Application,3
43,content marketing,marketing,application,Complex,15,2025-10-25,Content Marketing Application,7
44,social media,marketing,application,Complex,15,2025-10-10,Social Media Application,6
49,digital marketing,marketing,registration,Moderate,9,2025-04-19,Digital Marketing Registration,5
55,digital marketing,marketing,application,Simple,10,2025-03-02,Digital Marketing Application,12
57,content marketing,marketing,registration,Complex,15,2025-10-03,Content Marketing Registration,12
58,content marketing,marketing,assessment,Simple,15,2025-02-07,Content Marketing Assessment,12
63,brand management,marketing,assessment,Moderate,8,2025-01-25,Brand Management Assessment,7
65,digital marketing,marketing,assessment,Moderate,6,2025-02-09,Digital Marketing Assessment,7
66,content marketing,marketing,registration,Complex,12,2025-02-26,Content Marketing Registration,11
67,social media,marketing,registration,Simple,7,2025-06-02,Social Media Registration,11
68,content marketing,marketing,assessment,Complex,12,2024-11-08,Content Marketing Assessment,4
70,social media,marketing,survey,Moderate,12,2025-02-23,Social Media Survey,5
73,brand management,marketing,application,Simple,9,2025-08-22,Brand Management Application,3
76,social media,marketing,assessment,Moderate,10,2025-05-16,Social Media Assessment,5
77,digital marketing,marketing,survey,Complex,14,2024-12-20,Digital Marketing Survey,12
80,content marketing,marketing,survey,Simple,10,2025-05-02,Content Marketing Survey,10
84,brand management,marketing,application,Complex,9,2025-06-22,Brand Management Application,12
85,content marketing,marketing,survey,Moderate,6,2024-12-05,Content Marketing Survey,9
88,digital marketing,marketing,registration,Moderate,6,2025-04-01,Digital Marketing Registration,5
89,social media,marketing,assessment,Complex,13,2024-11-16,Social Media Assessment,3
90,social media,marketing,assessment,Moderate,7,2024-11-08,Social Media Assessment,12
94,content marketing,marketing,assessment,Complex,13,2025-07-06,Content Marketing Assessment,11
96,brand management,marketing,survey,Simple,5,2025-07-01,Brand Management Survey,12
97,social media,marketing,registration,Simple,10,2025-01-31,Social Media Registration,6
102,brand management,marketing,assessment,Simple,10,2024-12-17,Brand Management Assessment,3
105,brand management,marketing,registration,Simple,14,2024-10-26,Brand Management Registration,7
107,social media,marketing,survey,Complex,6,2025-02-24,Social Media Survey,4
108,brand management,marketing,assessment,Simple,5,2025-04-24,Brand Management Assessment,6
111,brand management,marketing,assessment,Simple,9,2025-06-15,Brand Management Assessment,6
115,brand management,marketing,assessment,Moderate,5,2024-12-07,Brand Management Assessment,12
119,social media,marketing,assessment,Moderate,6,2025-07-19,Social Media Assessment,4
123,social media,marketing,application,Complex,6,2025-09-23,Social Media Application,4
124,social media,marketing,survey,Moderate,9,2024-12-04,Social Media Survey,5
125,brand management,marketing,application,Complex,13,2025-07-22,Brand Management Application,6
126,digital marketing,marketing,application,Simple,8,2024-11-08,Digital Marketing Application,9
132,brand management,marketing,survey,Simple,6,2025-05-15,Brand Management Survey,5
133,digital marketing,marketing,registration,Simple,13,2025-01-17,Digital Marketing Registration,7
135,digital marketing,marketing,application,Moderate,14,2025-06-16,Digital Marketing Application,10
136,content marketing,marketing,application,Simple,10,2025-02-06,Content Marketing Application,4
137,digital marketing,marketing,registration,Simple,7,2024-12-20,Digital Marketing Registration,5
138,digital marketing,marketing,application,Moderate,15,2024-11-14,Digital Marketing Application,12
142,social media,marketing,application,Simple,11,2025-04-03,Social Media Application,12
146,content marketing,marketing,application,Simple,7,2025-04-25,Content Marketing Application,9
149,brand management,marketing,application,Simple,12,2025-09-05,Brand Management Application,8
155,social media,marketing,registration,Simple,7,2025-05-05,Social Media Registration,6
158,digital marketing,marketing,survey,Simple,12,2025-03-08,Digital Marketing Survey,3
159,digital marketing,marketing,application,Moderate,6,2025-04-14,Digital Marketing Application,10
160,content marketing,marketing,application,Moderate,11,2025-07-14,Content Marketing Application,10
163,social media,marketing,survey,Simple,15,2024-11-06,Social Media Survey,10
166,brand management,marketing,application,Complex,7,2025-04-23,Brand Management Application,11
168,brand management,marketing,survey,Moderate,15,2025-07-18,Brand Management Survey,4
172,brand management,marketing,application,Moderate,8,2025-09-23,Brand Management Application,8
176,content marketing,marketing,registration,Complex,8,2025-09-03,Content Marketing Registration,3
177,digital marketing,marketing,application,Moderate,9,2025-05-19,Digital Marketing Application,8
178,social media,marketing,assessment,Moderate,14,2025-08-08,Social Media Assessment,6
181,social media,marketing,survey,Moderate,13,2024-11-02,Social Media Survey,9
183,content marketing,marketing,survey,Simple,11,2025-04-12,Content Marketing Survey,6
184,social media,marketing,assessment,Complex,5,2025-06-10,Social Media Assessment,11
185,digital marketing,marketing,registration,Complex,13,2024-10-28,Digital Marketing Registration,9
188,social media,marketing,registration,Simple,6,2025-06-10,Social Media Registration,5
190,social media,marketing,assessment,Moderate,6,2025-10-22,Social Media Assessment,7
191,digital marketing,marketing,assessment,Simple,13,2025-01-05,Digital Marketing Assessment,6
193,digital marketing,marketing,assessment,Moderate,6,2025-10-15,Digital Marketing Assessment,10
194,brand management,marketing,application,Simple,15,2025-09-26,Brand Management Application,10
196,social media,marketing,registration,Simple,13,2025-03-02,Social Media Registration,8
199,digital marketing,marketing,registration,Moderate,7,2025-08-05,Digital Marketing Registration,9
200,digital marketing,marketing,survey,Complex,13,2024-11-09,Digital Marketing Survey,9
202,brand management,marketing,survey,Moderate,6,2025-10-15,Brand Management Survey,5
204,content marketing,marketing,application,Simple,7,2025-07-27,Content Marketing Application,9
210,brand management,marketing,assessment,Simple,11,2024-11-06,Brand Management Assessment,11
214,content marketing,marketing,survey,Simple,9,2024-12-09,Content Marketing Survey,3
219,digital marketing,marketing,assessment,Simple,10,2025-04-16,Digital Marketing Assessment,6
221,social media,marketing,survey,Moderate,8,2025-02-26,Social Media Survey,5
222,digital marketing,marketing,application,Simple,13,2025-02-19,Digital Marketing Application,12
234,social media,marketing,assessment,Complex,14,2025-04-27,Social Media Assessment,3
239,digital marketing,marketing,survey,Complex,7,2025-06-17,Digital Marketing Survey,10
240,brand management,marketing,assessment,Simple,14,2025-05-27,Brand Management Assessment,5
241,brand management,marketing,application,Complex,10,2025-06-19,Brand Management Application,10
245,social media,marketing,registration,Moderate,11,2025-04-17,Social Media Registration,12
246,social media,marketing,assessment,Simple,14,2025-09-27,Social Media Assessment,8
248,digital marketing,marketing,application,Moderate,15,2025-04-14,Digital Marketing Application,10
253,social media,marketing,assessment,Simple,8,2025-02-15,Social Media Assessment,6
254,social media,marketing,survey,Complex,5,2025-04-19,Social Media Survey,9
255,social media,marketing,survey,Complex,11,2024-11-19,Social Media Survey,11
