record_id,keyword,category,form_type,complexity,num_fields,created_date,form_title,estimated_time
1,investment planning,economics,application,Moderate,13,2025-01-05,Investment Planning Application,8
3,financial modeling,economics,registration,Complex,10,2025-07-27,Financial Modeling Registration,12
5,financial modeling,economics,survey,Complex,15,2025-06-02,Financial Modeling Survey,7
6,portfolio management,economics,survey,Simple,10,2025-05-03,Portfolio Management Survey,5
9,investment planning,economics,survey,Simple,6,2025-07-24,Investment Planning Survey,7
17,investment planning,economics,assessment,Complex,9,2025-03-11,Investment Planning Assessment,10
18,market analysis,economics,registration,Moderate,9,2024-12-14,Market Analysis Registration,5
21,market analysis,economics,assessment,Complex,8,2025-04-13,Market Analysis Assessment,12
24,investment planning,economics,assessment,Simple,10,2025-05-10,Investment Planning Assessment,8
25,financial modeling,economics,application,Moderate,13,2025-10-13,Financial Modeling Application,10
26,financial modeling,economics,registration,Complex,15,2025-03-28,Financial Modeling Registration,5
29,portfolio management,economics,application,Complex,15,2025-04-02,Portfolio Management Application,8
32,financial modeling,economics,assessment,Complex,9,2025-06-28,Financial Modeling Assessment,10
33,investment planning,economics,assessment,Moderate,9,2025-06-22,Investment Planning Assessment,3
34,investment planning,economics,assessment,Complex,5,2024-12-02,Investment Planning Assessment,9
36,investment planning,economics,survey,Moderate,11,2025-06-29,Investment Planning Survey,12
41,investment planning,economics,survey,Simple,15,2024-12-22,Investment Planning Survey,5
42,investment planning,economics,registration,Moderate,11,2025-01-03,Investment Planning Registration,4
45,financial modeling,economics,survey,Complex,9,2025-10-11,Financial Modeling Survey,9
47,investment planning,economics,registration,Complex,5,2025-09-12,Investment Planning Registration,10
59,investment planning,economics,application,Moderate,7,2025-09-29,Investment Planning Application,8
62,financial modeling,economics,application,Complex,7,2025-07-13,Financial Modeling Application,3
64,investment planning,economics,assessment,Moderate,13,2025-10-02,Investment Planning Assessment,3
71,market analysis,economics,application,Simple,13,2024-12-26,Market Analysis Application,9
79,portfolio management,economics,survey,Moderate,6,2025-03-12,Portfolio Management Survey,12
82,financial modeling,economics,application,Complex,12,2025-02-18,Financial Modeling Application,3
83,financial modeling,economics,assessment,Simple,11,2025-04-02,Financial Modeling Assessment,6
86,financial modeling,economics,registration,Complex,9,2025-07-21,Financial Modeling Registration,11
87,financial modeling,economics,assessment,Moderate,7,2025-05-24,Financial Modeling Assessment,11
91,market analysis,economics,application,Moderate,6,2025-10-20,Market Analysis Application,8
93,investment planning,economics,survey,Moderate,14,2025-05-12,Investment Planning Survey,5
98,financial modeling,economics,registration,Simple,6,2025-04-04,Financial Modeling Registration,5
99,investment planning,economics,assessment,Moderate,5,2024-12-19,Investment Planning Assessment,6
101,portfolio management,economics,assessment,Moderate,10,2025-04-19,Portfolio Management Assessment,3
103,investment planning,economics,registration,Complex,14,2025-10-25,Investment Planning Registration,5
104,financial modeling,economics,assessment,Moderate,6,2025-07-03,Financial Modeling Assessment,8
109,market analysis,economics,survey,Moderate,10,2025-02-03,Market Analysis Survey,4
110,financial modeling,economics,survey,Moderate,9,2025-04-23,Financial Modeling Survey,12
112,portfolio management,economics,survey,Simple,15,2024-11-20,Portfolio Management Survey,5
117,portfolio management,economics,assessment,Moderate,14,2025-04-25,Portfolio Management Assessment,9
120,market analysis,economics,survey,Simple,9,2025-08-25,Market Analysis Survey,11
128,financial modeling,economics,assessment,Simple,12,2025-09-05,Financial Modeling Assessment,4
130,investment planning,economics,assessment,Complex,10,2025-02-28,Investment Planning Assessment,11
134,portfolio management,economics,assessment,Moderate,7,2025-07-23,Portfolio Management Assessment,10
139,market analysis,economics,registration,Complex,10,2025-02-07,Market Analysis Registration,12
141,investment planning,economics,registration,Moderate,14,2025-10-01,Investment Planning Registration,4
144,investment planning,economics,survey,Moderate,12,2025-09-17,Investment Planning Survey,9
150,financial modeling,economics,application,Complex,15,2025-07-29,Financial Modeling Application,9
151,market analysis,economics,registration,Complex,12,2024-11-21,Market Analysis Registration,7
152,portfolio management,economics,assessment,Simple,11,2025-07-17,Portfolio Management Assessment,12
153,market analysis,economics,survey,Complex,14,2025-02-24,Market Analysis Survey,7
169,portfolio management,economics,assessment,Complex,12,2024-11-11,Portfolio Management Assessment,10
171,financial modeling,economics,survey,Moderate,14,2025-06-03,Financial Modeling Survey,5
173,market analysis,economics,application,Simple,9,2025-10-18,Market Analysis Application,11
179,market analysis,economics,application,Simple,13,2025-10-03,Market Analysis Application,11
180,investment planning,economics,assessment,Complex,11,2024-12-30,Investment Planning Assessment,8
182,portfolio management,economics,assessment,Simple,15,2025-03-18,Portfolio Management Assessment,8
186,investment planning,economics,registration,Complex,12,2025-05-06,Investment Planning Registration,3
187,financial modeling,economics,registration,Complex,7,2025-03-01,Financial Modeling Registration,9
189,investment planning,economics,survey,Simple,5,2025-06-17,Investment Planning Survey,12
