record_id,keyword,category,form_type,complexity,num_fields,created_date,form_title,estimated_time
27600001,social media,marketing,survey,Moderate,10,2025-09-17,Social Media Survey,6
27600002,digital marketing,marketing,survey,Moderate,11,2025-06-23,Digital Marketing Survey,12
27600003,machine learning,it,registration,Simple,14,2025-02-07,Machine Learning Registration,9
27600004,cybersecurity,it,survey,Simple,9,2025-01-30,Cybersecurity Survey,12
27600005,market analysis,economics,application,Simple,13,2025-04-15,Market Analysis Application,4
27600006,investment planning,economics,application,Moderate,7,2025-10-01,Investment Planning Application,12
27600007,content marketing,marketing,assessment,Simple,6,2025-01-11,Content Marketing Assessment,9
27600008,machine learning,it,application,Complex,12,2025-02-26,Machine Learning Application,4
27600009,cybersecurity,it,application,Simple,14,2025-10-21,Cybersecurity Application,3
27600010,digital marketing,marketing,survey,Simple,14,2025-06-07,Digital Marketing Survey,10
27600011,web development,it,survey,Simple,7,2025-03-08,Web Development Survey,6
27600012,financial modeling,economics,registration,Complex,15,2025-04-14,Financial Modeling Registration,7
27600013,portfolio management,economics,application,Moderate,7,2025-08-30,Portfolio Management Application,7
27600014,brand management,marketing,registration,Complex,5,2025-08-10,Brand Management Registration,3
27600015,machine learning,it,application,Moderate,15,2025-09-14,Machine Learning Application,7
27600016,investment planning,economics,registration,Moderate,11,2025-02-20,Investment Planning Registration,4
27600017,cybersecurity,it,application,Simple,5,2025-01-02,Cybersecurity Application,8
27600018,financial modeling,economics,assessment,Complex,12,2025-02-22,Financial Modeling Assessment,5
27600019,digital marketing,marketing,application,Complex,5,2025-08-02,Digital Marketing Application,3
27600020,web development,it,assessment,Complex,12,2025-06-15,Web Development Assessment,3
27600021,cybersecurity,it,application,Moderate,12,2025-03-05,Cybersecurity Application,9
27600022,financial modeling,economics,survey,Complex,15,2025-07-15,Financial Modeling Survey,4
27600023,brand management,marketing,registration,Simple,15,2025-02-17,Brand Management Registration,6
27600024,financial modeling,economics,survey,Simple,12,2025-07-29,Financial Modeling Survey,3
27600025,portfolio management,economics,registration,Complex,10,2025-04-19,Portfolio Management Registration,12
27600026,financial modeling,economics,registration,Moderate,13,2025-06-16,Financial Modeling Registration,12
27600027,portfolio management,economics,application,Complex,6,2025-01-12,Portfolio Management Application,11
27600028,market analysis,economics,registration,Moderate,14,2024-12-01,Market Analysis Registration,7
27600029,digital marketing,marketing,survey,Moderate,7,2024-12-30,Digital Marketing Survey,7
27600030,data science,it,survey,Complex,13,2025-02-22,Data Science Survey,5
27600031,financial modeling,economics,assessment,Complex,14,2025-10-09,Financial Modeling Assessment,7
27600032,market analysis,economics,application,Moderate,5,2024-12-11,Market Analysis Application,11
27600033,social media,marketing,survey,Simple,14,2024-12-15,Social Media Survey,11
27600034,social media,marketing,assessment,Moderate,10,2025-03-25,Social Media Assessment,7
27600035,digital marketing,marketing,application,Complex,12,2025-09-19,Digital Marketing Application,7
27600036,web development,it,survey,Simple,12,2025-05-25,Web Development Survey,7
27600037,machine learning,it,application,Moderate,13,2024-12-27,Machine Learning Application,12
27600038,portfolio management,economics,assessment,Simple,12,2024-11-11,Portfolio Management Assessment,5
27600039,machine learning,it,survey,Moderate,15,2025-01-10,Machine Learning Survey,7
27600040,financial modeling,economics,assessment,Moderate,15,2025-08-15,Financial Modeling Assessment,8
27600041,market analysis,economics,application,Simple,6,2025-09-15,Market Analysis Application,3
27600042,cybersecurity,it,survey,Moderate,12,2025-02-08,Cybersecurity Survey,7
27600043,brand management,marketing,application,Simple,13,2025-07-21,Brand Management Application,7
27600044,data science,it,registration,Moderate,7,2025-10-11,Data Science Registration,3
27600045,investment planning,economics,survey,Simple,5,2025-07-23,Investment Planning Survey,9
27600046,data science,it,assessment,Simple,8,2025-09-12,Data Science Assessment,3
27600047,financial modeling,economics,registration,Complex,13,2025-10-20,Financial Modeling Registration,5
27600048,financial modeling,economics,registration,Simple,8,2025-06-05,Financial Modeling Registration,10
27600049,investment planning,economics,registration,Simple,6,2025-03-01,Investment Planning Registration,4
27600050,digital marketing,marketing,registration,Complex,12,2024-12-28,Digital Marketing Registration,4
27600051,web development,it,application,Complex,8,2025-01-10,Web Development Application,9
27600052,brand management,marketing,registration,Simple,14,2025-02-10,Brand Management Registration,11
27600053,financial modeling,economics,survey,Simple,15,2025-05-07,Financial Modeling Survey,4
27600054,market analysis,economics,assessment,Complex,5,2025-08-31,Market Analysis Assessment,7
27600055,investment planning,economics,survey,Complex,5,2025-03-12,Investment Planning Survey,11
27600056,market analysis,economics,registration,Simple,11,2025-02-20,Market Analysis Registration,7
