record_id,keyword,category,form_type,complexity,num_fields,created_date,form_title,estimated_time
2,cloud computing,it,survey,Complex,15,2025-03-20,Cloud Computing Survey,8
7,data science,it,registration,Simple,6,2025-10-20,Data Science Registration,6
12,data science,it,survey,Complex,14,2024-11-15,Data Science Survey,6
13,cybersecurity,it,application,Complex,9,2025-05-24,Cybersecurity Application,7
15,web development,it,survey,Moderate,10,2025-03-28,Web Development Survey,3
22,data science,it,application,Complex,9,2025-09-07,Data Science Application,8
27,machine learning,it,registration,Moderate,12,2025-02-13,Machine Learning Registration,3
31,web development,it,survey,Complex,6,2024-12-10,Web Development Survey,6
38,web development,it,survey,Simple,13,2025-07-15,Web Development Survey,9
46,cloud computing,it,assessment,Simple,6,2025-09-05,Cloud Computing Assessment,6
48,cybersecurity,it,survey,Simple,10,2024-12-25,Cybersecurity Survey,9
50,cybersecurity,it,registration,Complex,7,2025-10-02,Cybersecurity Registration,8
51,data science,it,survey,Simple,5,2025-03-02,Data Science Survey,8
52,data science,it,assessment,Complex,7,2025-04-22,Data Science Assessment,9
53,cloud computing,it,registration,Complex,13,2024-11-21,Cloud Computing Registration,6
54,cybersecurity,it,survey,Simple,12,2025-05-24,Cybersecurity Survey,7
56,web development,it,registration,Simple,13,2025-04-28,Web Development Registration,4
60,data science,it,application,Moderate,8,2025-01-06,Data Science Application,5
61,web development,it,survey,Moderate,6,2025-07-10,Web Development Survey,12
69,cloud computing,it,registration,Complex,15,2024-12-26,Cloud Computing Registration,3
72,machine learning,it,survey,Simple,6,2025-03-15,Machine Learning Survey,12
74,cybersecurity,it,assessment,Simple,14,2025-04-04,Cybersecurity Assessment,9
75,cybersecurity,it,assessment,Complex,7,2025-10-16,Cybersecurity Assessment,12
78,cloud computing,it,registration,Simple,13,2025-04-15,Cloud Computing Registration,8
81,cloud computing,it,registration,Moderate,14,2025-03-28,Cloud Computing Registration,4
92,web development,it,assessment,Complex,15,2025-02-03,Web Development Assessment,10
95,web development,it,registration,Complex,7,2025-04-18,Web Development Registration,5
100,cybersecurity,it,survey,Simple,7,2025-04-01,Cybersecurity Survey,9
106,cloud computing,it,registration,Complex,5,2024-11-29,Cloud Computing Registration,3
113,machine learning,it,registration,Simple,7,2025-06-01,Machine Learning Registration,8
114,cybersecurity,it,assessment,Complex,11,2025-10-19,Cybersecurity Assessment,7
116,machine learning,it,assessment,Simple,14,2025-06-04,Machine Learning Assessment,12
118,web development,it,registration,Simple,12,2024-10-31,Web Development Registration,6
121,web development,it,survey,Moderate,15,2025-08-02,Web Development Survey,7
122,cybersecurity,it,assessment,Simple,7,2025-01-12,Cybersecurity Assessment,7
127,cybersecurity,it,application,Simple,8,2024-11-25,Cybersecurity Application,9
129,data science,it,survey,Complex,11,2025-06-18,Data Science Survey,6
131,data science,it,application,Moderate,13,2025-09-15,Data Science Application,11
140,cloud computing,it,application,Complex,8,2025-02-18,Cloud Computing Application,11
143,web development,it,assessment,Simple,13,2025-01-21,Web Development Assessment,9
145,cloud computing,it,application,Complex,7,2025-09-17,Cloud Computing Application,11
147,web development,it,assessment,Moderate,6,2025-01-03,Web Development Assessment,8
148,machine learning,it,survey,Complex,9,2024-11-25,Machine Learning Survey,3
154,machine learning,it,survey,Complex,15,2025-03-26,Machine Learning Survey,7
156,web development,it,survey,Moderate,13,2025-05-03,Web Development Survey,6
157,cloud computing,it,assessment,Simple,12,2025-03-17,Cloud Computing Assessment,3
161,cybersecurity,it,survey,Simple,5,2025-07-14,Cybersecurity Survey,12
162,data science,it,assessment,Simple,11,2025-02-10,Data Science Assessment,10
164,web development,it,survey,Moderate,9,2025-02-04,Web Development Survey,4
165,web development,it,registration,Complex,8,2025-03-15,Web Development Registration,6
167,data science,it,survey,Moderate,8,2025-07-09,Data Science Survey,11
170,cloud computing,it,survey,Simple,14,2025-08-25,Cloud Computing Survey,4
174,web development,it,registration,Simple,7,2025-02-25,Web Development Registration,9
175,cybersecurity,it,application,Complex,12,2025-10-17,Cybersecurity Application,7
192,machine learning,it,assessment,Simple,5,2025-03-16,Machine Learning Assessment,5
195,machine learning,it,application,Moderate,8,2025-02-01,Machine Learning Application,5
197,machine learning,it,registration,Moderate,8,2025-05-22,Machine Learning Registration,11
205,data science,it,registration,Moderate,10,2025-06-01,Data Science Registration,12
208,cloud computing,it,registration,Simple,10,2025-07-04,Cloud Computing Registration,5
211,machine learning,it,application,Moderate,8,2025-03-01,Machine Learning Application,8
213,cybersecurity,it,registration,Simple,13,2025-10-17,Cybersecurity Registration,6
216,web development,it,registration,Complex,6,2025-03-16,Web Development Registration,9
218,data science,it,assessment,Moderate,6,2025-07-24,Data Science Assessment,8
224,cloud computing,it,assessment,Simple,15,2025-01-16,Cloud Computing Assessment,6
226,cloud computing,it,application,Complex,5,2025-02-26,Cloud Computing Application,10
227,data science,it,assessment,Simple,9,2025-05-19,Data Science Assessment,6
230,machine learning,it,application,Complex,8,2025-05-05,Machine Learning Application,12
233,web development,it,survey,Simple,12,2025-04-20,Web Development Survey,10
236,data science,it,registration,Complex,11,2025-01-05,Data Science Registration,6
249,data science,it,survey,Complex,11,2024-10-29,Data Science Survey,11
250,machine learning,it,registration,Complex,12,2024-11-01,Machine Learning Registration,10
252,cloud computing,it,application,Complex,11,2025-02-21,Cloud Computing Application,9
259,cloud computing,it,survey,Moderate,11,2025-08-13,Cloud Computing Survey,3
261,cybersecurity,it,application,Simple,10,2025-01-15,Cybersecurity Application,6
262,machine learning,it,application,Simple,8,2025-01-29,Machine Learning Application,11
267,cloud computing,it,assessment,Simple,14,2025-03-08,Cloud Computing Assessment,10
271,data science,it,application,Complex,11,2025-05-30,Data Science Application,4
275,web development,it,assessment,Moderate,10,2025-01-03,Web Development Assessment,8
277,cloud computing,it,registration,Moderate,7,2025-03-19,Cloud Computing Registration,9
280,cloud computing,it,application,Moderate,5,2025-01-08,Cloud Computing Application,10
285,cybersecurity,it,assessment,Moderate,14,2025-01-25,Cybersecurity Assessment,7
290,data science,it,application,Moderate,5,2025-02-25,Data Science Application,7
291,data science,it,survey,Complex,13,2025-07-20,Data Science Survey,11
292,data science,it,assessment,Simple,13,2025-06-04,Data Science Assessment,12
294,machine learning,it,survey,Simple,9,2025-02-12,Machine Learning Survey,4
297,machine learning,it,survey,Complex,15,2025-06-23,Machine Learning Survey,8
299,cybersecurity,it,survey,Simple,6,2025-05-24,Cybersecurity Survey,11
302,cloud computing,it,assessment,Moderate,15,2024-12-21,Cloud Computing Assessment,10
308,cybersecurity,it,registration,Complex,12,2025-08-07,Cybersecurity Registration,10
312,web development,it,assessment,Moderate,11,2025-05-09,Web Development Assessment,7
313,cybersecurity,it,assessment,Simple,11,2025-10-02,Cybersecurity Assessment,7
319,machine learning,it,application,Moderate,11,2025-08-17,Machine Learning Application,9
337,web development,it,application,Moderate,12,2024-11-15,Web Development Application,9
339,machine learning,it,assessment,Complex,12,2025-06-13,Machine Learning Assessment,9
343,cloud computing,it,survey,Complex,11,2025-08-11,Cloud Computing Survey,7
