record_id,keyword,category,form_type,complexity,num_fields,created_date,form_title,estimated_time
1,investment planning,economics,application,Moderate,13,2025-01-05,Investment Planning Application,8
2,cloud computing,it,survey,Complex,15,2025-03-20,Cloud Computing Survey,8
3,financial modeling,economics,registration,Complex,10,2025-07-27,Financial Modeling Registration,12
4,digital marketing,marketing,registration,Moderate,13,2025-06-05,Digital Marketing Registration,5
5,financial modeling,economics,survey,Complex,15,2025-06-02,Financial Modeling Survey,7
6,portfolio management,economics,survey,Simple,10,2025-05-03,Portfolio Management Survey,5
7,data science,it,registration,Simple,6,2025-10-20,Data Science Registration,6
8,content marketing,marketing,assessment,Simple,5,2025-05-18,Content Marketing Assessment,7
9,investment planning,economics,survey,Simple,6,2025-07-24,Investment Planning Survey,7
10,content marketing,marketing,survey,Moderate,12,2025-06-25,Content Marketing Survey,9
11,content marketing,marketing,application,Moderate,12,2025-08-29,Content Marketing Application,11
12,data science,it,survey,Complex,14,2024-11-15,Data Science Survey,6
13,cybersecurity,it,application,Complex,9,2025-05-24,Cybersecurity Application,7
14,brand management,marketing,survey,Complex,5,2025-06-13,Brand Management Survey,5
15,web development,it,survey,Moderate,10,2025-03-28,Web Development Survey,3
16,digital marketing,marketing,survey,Simple,8,2024-12-14,Digital Marketing Survey,7
17,investment planning,economics,assessment,Complex,9,2025-03-11,Investment Planning Assessment,10
18,market analysis,economics,registration,Moderate,9,2024-12-14,Market Analysis Registration,5
19,social media,marketing,registration,Moderate,12,2025-03-07,Social Media Registration,9
20,brand management,marketing,application,Moderate,13,2024-12-03,Brand Management Application,5
21,market analysis,economics,assessment,Complex,8,2025-04-13,Market Analysis Assessment,12
22,data science,it,application,Complex,9,2025-09-07,Data Science Application,8
23,content marketing,marketing,registration,Complex,11,2025-09-09,Content Marketing Registration,3
24,investment planning,economics,assessment,Simple,10,2025-05-10,Investment Planning Assessment,8
25,financial modeling,economics,application,Moderate,13,2025-10-13,Financial Modeling Application,10
26,financial modeling,economics,registration,Complex,15,2025-03-28,Financial Modeling Registration,5
27,machine learning,it,registration,Moderate,12,2025-02-13,Machine Learning Registration,3
28,content marketing,marketing,survey,Simple,15,2025-08-21,Content Marketing Survey,12
29,portfolio management,economics,application,Complex,15,2025-04-02,Portfolio Management Application,8
30,brand management,marketing,assessment,Simple,7,2025-02-17,Brand Management Assessment,9
31,web development,it,survey,Complex,6,2024-12-10,Web Development Survey,6
32,financial modeling,economics,assessment,Complex,9,2025-06-28,Financial Modeling Assessment,10
33,investment planning,economics,assessment,Moderate,9,2025-06-22,Investment Planning Assessment,3
34,investment planning,economics,assessment,Complex,5,2024-12-02,Investment Planning Assessment,9
35,digital marketing,marketing,registration,Complex,14,2025-04-08,Digital Marketing Registration,3
36,investment planning,economics,survey,Moderate,11,2025-06-29,Investment Planning Survey,12
37,digital marketing,marketing,application,Simple,14,2025-08-13,Digital Marketing Application,5
38,web development,it,survey,Simple,13,2025-07-15,Web Development Survey,9
39,brand management,marketing,assessment,Complex,10,2025-07-03,Brand Management Assessment,5
40,digital marketing,marketing,application,Moderate,7,2024-12-29,Digital Marketing Application,3
41,investment planning,economics,survey,Simple,15,2024-12-22,Investment Planning Survey,5
42,investment planning,economics,registration,Moderate,11,2025-01-03,Investment Planning Registration,4
43,content marketing,marketing,application,Complex,15,2025-10-25,Content Marketing Application,7
44,social media,marketing,application,Complex,15,2025-10-10,Social Media Application,6
45,financial modeling,economics,survey,Complex,9,2025-10-11,Financial Modeling Survey,9
46,cloud computing,it,assessment,Simple,6,2025-09-05,Cloud Computing Assessment,6
47,investment planning,economics,registration,Complex,5,2025-09-12,Investment Planning Registration,10
48,cybersecurity,it,survey,Simple,10,2024-12-25,Cybersecurity Survey,9
49,digital marketing,marketing,registration,Moderate,9,2025-04-19,Digital Marketing Registration,5
50,cybersecurity,it,registration,Complex,7,2025-10-02,Cybersecurity Registration,8
51,data science,it,survey,Simple,5,2025-03-02,Data Science Survey,8
52,data science,it,assessment,Complex,7,2025-04-22,Data Science Assessment,9
53,cloud computing,it,registration,Complex,13,2024-11-21,Cloud Computing Registration,6
54,cybersecurity,it,survey,Simple,12,2025-05-24,Cybersecurity Survey,7
55,digital marketing,marketing,application,Simple,10,2025-03-02,Digital Marketing Application,12
56,web development,it,registration,Simple,13,2025-04-28,Web Development Registration,4
57,content marketing,marketing,registration,Complex,15,2025-10-03,Content Marketing Registration,12
58,content marketing,marketing,assessment,Simple,15,2025-02-07,Content Marketing Assessment,12
59,investment planning,economics,application,Moderate,7,2025-09-29,Investment Planning Application,8
60,data science,it,application,Moderate,8,2025-01-06,Data Science Application,5
61,web development,it,survey,Moderate,6,2025-07-10,Web Development Survey,12
62,financial modeling,economics,application,Complex,7,2025-07-13,Financial Modeling Application,3
63,brand management,marketing,assessment,Moderate,8,2025-01-25,Brand Management Assessment,7
64,investment planning,economics,assessment,Moderate,13,2025-10-02,Investment Planning Assessment,3
65,digital marketing,marketing,assessment,Moderate,6,2025-02-09,Digital Marketing Assessment,7
66,content marketing,marketing,registration,Complex,12,2025-02-26,Content Marketing Registration,11
67,social media,marketing,registration,Simple,7,2025-06-02,Social Media Registration,11
68,content marketing,marketing,assessment,Complex,12,2024-11-08,Content Marketing Assessment,4
69,cloud computing,it,registration,Complex,15,2024-12-26,Cloud Computing Registration,3
70,social media,marketing,survey,Moderate,12,2025-02-23,Social Media Survey,5
71,market analysis,economics,application,Simple,13,2024-12-26,Market Analysis Application,9
72,machine learning,it,survey,Simple,6,2025-03-15,Machine Learning Survey,12
73,brand management,marketing,application,Simple,9,2025-08-22,Brand Management Application,3
74,cybersecurity,it,assessment,Simple,14,2025-04-04,Cybersecurity Assessment,9
75,cybersecurity,it,assessment,Complex,7,2025-10-16,Cybersecurity Assessment,12
76,social media,marketing,assessment,Moderate,10,2025-05-16,Social Media Assessment,5
77,digital marketing,marketing,survey,Complex,14,2024-12-20,Digital Marketing Survey,12
78,cloud computing,it,registration,Simple,13,2025-04-15,Cloud Computing Registration,8
79,portfolio management,economics,survey,Moderate,6,2025-03-12,Portfolio Management Survey,12
80,content marketing,marketing,survey,Simple,10,2025-05-02,Content Marketing Survey,10
81,cloud computing,it,registration,Moderate,14,2025-03-28,Cloud Computing Registration,4
82,financial modeling,economics,application,Complex,12,2025-02-18,Financial Modeling Application,3
83,financial modeling,economics,assessment,Simple,11,2025-04-02,Financial Modeling Assessment,6
84,brand management,marketing,application,Complex,9,2025-06-22,Brand Management Application,12
85,content marketing,marketing,survey,Moderate,6,2024-12-05,Content Marketing Survey,9
86,financial modeling,economics,registration,Complex,9,2025-07-21,Financial Modeling Registration,11
87,financial modeling,economics,assessment,Moderate,7,2025-05-24,Financial Modeling Assessment,11
88,digital marketing,marketing,registration,Moderate,6,2025-04-01,Digital Marketing Registration,5
89,social media,marketing,assessment,Complex,13,2024-11-16,Social Media Assessment,3
90,social media,marketing,assessment,Moderate,7,2024-11-08,Social Media Assessment,12
91,market analysis,economics,application,Moderate,6,2025-10-20,Market Analysis Application,8
92,web development,it,assessment,Complex,15,2025-02-03,Web Development Assessment,10
93,investment planning,economics,survey,Moderate,14,2025-05-12,Investment Planning Survey,5
94,content marketing,marketing,assessment,Complex,13,2025-07-06,Content Marketing Assessment,11
95,web development,it,registration,Complex,7,2025-04-18,Web Development Registration,5
96,brand management,marketing,survey,Simple,5,2025-07-01,Brand Management Survey,12
97,social media,marketing,registration,Simple,10,2025-01-31,Social Media Registration,6
98,financial modeling,economics,registration,Simple,6,2025-04-04,Financial Modeling Registration,5
99,investment planning,economics,assessment,Moderate,5,2024-12-19,Investment Planning Assessment,6
100,cybersecurity,it,survey,Simple,7,2025-04-01,Cybersecurity Survey,9
101,portfolio management,economics,assessment,Moderate,10,2025-04-19,Portfolio Management Assessment,3
102,brand management,marketing,assessment,Simple,10,2024-12-17,Brand Management Assessment,3
103,investment planning,economics,registration,Complex,14,2025-10-25,Investment Planning Registration,5
104,financial modeling,economics,assessment,Moderate,6,2025-07-03,Financial Modeling Assessment,8
105,brand management,marketing,registration,Simple,14,2024-10-26,Brand Management Registration,7
106,cloud computing,it,registration,Complex,5,2024-11-29,Cloud Computing Registration,3
107,social media,marketing,survey,Complex,6,2025-02-24,Social Media Survey,4
108,brand management,marketing,assessment,Simple,5,2025-04-24,Brand Management Assessment,6
109,market analysis,economics,survey,Moderate,10,2025-02-03,Market Analysis Survey,4
